ID	label	date	station	file_name_F	file_name_R	sequencing_batch
40	4/12-17 SCy	04.12.2017	SCy	18118-0035_S25_L001_R1_001.fastq	18118-0035_S25_L001_R2_001.fastq	18118_batch1
41	4/12-17 FCyM	04.12.2017	FCyM	18118-0036_S35_L001_R1_001.fastq	18118-0036_S35_L001_R2_001.fastq	18118_batch1
42	4/12-17 FCaM	04.12.2017	FCaM	18118-0037_S45_L001_R1_001.fastq	18118-0037_S45_L001_R2_001.fastq	18118_batch1
43	4/12-17 FCa	04.12.2017	FCa	18118-0038_S55_L001_R1_001.fastq	18118-0038_S55_L001_R2_001.fastq	18118_batch1
61	19/6-18 FCyM	19.06.2018	FCyM	18118-0055_S67_L001_R1_001.fastq	18118-0055_S67_L001_R2_001.fastq	18118_batch1
62	19/6-18 FCaM	19.06.2018	FCaM	18118-0056_S76_L001_R1_001.fastq	18118-0056_S76_L001_R2_001.fastq	18118_batch1
63	19/6-18 FCa	19.06.2018	FCa	18118-0057_S8_L001_R1_001.fastq	18118-0057_S8_L001_R2_001.fastq	18118_batch1
ATCC_1	ATCC_MSA-1002			18118-0001_S1_L001_R1_001.fastq	18118-0001_S1_L001_R2_001.fastq	18118_batch1
