phylum	cds	rpkm	cds_relative	rpkm_relative
Candidatus Kapabacteria	855	15.2269	0.0024223272961382096	6.907676064471384e-4
Candidatus Kerfeldbacteria	116	2.0276	3.28643235499453e-4	9.198197918369582e-5
Candidatus Komeilibacteria	65	1.59	1.8415353713331417e-4	7.213027564710809e-5
Candidatus Korarchaeota	28	1.3452	7.932767753435072e-5	6.102493509464767e-5
Candidatus Kryptonia	294	9.8835	8.329406141106826e-4	4.4836451531961806e-4
Candidatus Kuenenbacteria	33	0.7888000000000001	9.349333423691335e-5	3.5783875113483556e-5
Candidatus Latescibacteria	707	17.2586	0.0020030238577423555	7.829355819391067e-4
Candidatus Levybacteria	155	4.0327	4.391353577794415e-4	1.8294324691955522e-4
Candidatus Lindowbacteria	299	5.9334999999999996	8.471062708132453e-4	2.6917295003277725e-4
Candidatus Liptonbacteria	65	1.3376000000000001	1.8415353713331417e-4	6.068016145004514e-5
Candidatus Lloydbacteria	133	2.6615	3.76806468288166e-4	1.2073882304074098e-4
Candidatus Lokiarchaeota	319	7.7579	9.037688976234957e-4	3.519367707186791e-4
Candidatus Magasanikbacteria	431	19.7841	0.0012210796077608986	8.975047713395917e-4
Candidatus Margulisbacteria	295	6.1618	8.357737454511951e-4	2.795297688568243e-4
Candidatus Marinimicrobia	1136	37.9287	0.0032184372028222297	0.0017206337018468353
Candidatus Marsarchaeota	22	0.3755	6.232888949127557e-5	1.7034539940559172e-5
Candidatus Melainabacteria	1467	33.8075	0.0041562036765318755	0.00153367565656579
Candidatus Micrarchaeota	48	0.7059	1.3599030434460123e-4	3.2023120490121754e-5
Candidatus Microgenomates	110	15.3922	3.1164444745637786e-4	6.982664332172434e-4
Candidatus Moranbacteria	352	10.3587	9.972622318604092e-4	4.699219410979236e-4
Candidatus Nealsonbacteria	118	2.7782	3.3430949818047807e-4	1.260329130835193e-4
Candidatus Niyogibacteria	58	1.6032	1.643216177497265e-4	7.27290930298388e-5
Candidatus Nomurabacteria	267	7.6256	7.564460679168444e-4	3.459349874054009e-4
Candidatus Odinarchaeota	7	0.2915	1.983191938358768e-5	1.3223883868636483e-5
Candidatus Omnitrophica	7786	165.2207	0.022058760617230527	0.007495229329313302
Candidatus Pacebacteria	250	12.7512	7.082828351281315e-4	5.784575917178646e-4
Candidatus Parcubacteria	839	19.9109	0.0023769971946900094	9.032570474100656e-4
Candidatus Parvarchaeota	3	0.0433	8.499394021537577e-6	1.9643024751696727e-6
Candidatus Peregrinibacteria	1219	31.4442	0.003453587104084769	0.0014264646625803746
Candidatus Portnoybacteria	43	0.7085	1.2182464764203861e-4	3.2141069368538416e-5
Candidatus Raymondbacteria	261	5.5463000000000005	7.394472798737693e-4	2.516076401393431e-4
Candidatus Riflebacteria	270	5.9064	7.649454619383819e-4	2.679435598000498e-4
Candidatus Roizmanbacteria	277	10.2518	7.847773813219696e-4	4.650724275968696e-4
Candidatus Rokubacteria	3778	137.5562	0.010703570204456322	0.0062402305804834775
Candidatus Ryanbacteria	481	41.2735	0.001362736174786525	0.0018723703974345381
Candidatus Saccharibacteria	3254	69.165	0.009219009382027759	0.003137666990649202
Candidatus Schekmanbacteria	753	24.5825	0.0021333478994059324	0.0011151839629528518
Candidatus Shapirobacteria	98	4.8378	2.7764687137022754e-4	2.1946657077080467e-4
Candidatus Spechtbacteria	40	0.7844	1.1332525362050104e-4	3.558426931923998e-5
Candidatus Staskawiczbacteria	94	1.9838	2.6631434600817743e-4	8.999499423190756e-5
Candidatus Sumerlaeota	1575	28.7829	0.004462181861307229	0.0013057349125302814
Candidatus Sungbacteria	90	2.0776	2.549818206461273e-4	9.425022684555456e-5
Candidatus Tagabacteria	18	1.0518	5.099636412922547e-5	4.771485781486056e-5
Candidatus Taylorbacteria	190	9.5707	5.3829495469738e-4	4.341743579470298e-4
Candidatus Tectomicrobia	12587	513.3336	0.03566062418303116	0.023287354759070646
Candidatus Terrybacteria	70	1.086	1.9831919383587682e-4	4.9266339215571945e-5
Candidatus Thorarchaeota	263	9.2004	7.451135425547943e-4	4.173757157633039e-4
Candidatus Uhrbacteria	834	22.3949	0.002362831537987447	0.001015943591251208
Candidatus Veblenbacteria	1	0.0113	2.833131340512526e-6	5.126239715800763e-7
Candidatus Vogelbacteria	41	1.3291	1.1615838496101355e-4	6.0294559347529146e-5
Candidatus Wallbacteria	192	5.892	5.439612173784049e-4	2.6729030447343447e-4
Candidatus Wildermuthbacteria	61	1.6804	1.728210117712641e-4	7.62312674197487e-5
Candidatus Wirthbacteria	8	0.0938	2.2665050724100207e-5	4.255232613647005e-6
Candidatus Woesearchaeota	533	9.3216	0.0015100590044931765	4.228739480956495e-4
Candidatus Woesebacteria	365	15.9638	0.0010340929392870719	7.241970404876126e-4
Candidatus Wolfebacteria	232	4.6156	6.57286470998906e-4	2.0938647816150441e-4
Candidatus Woykebacteria	69	1.5167	1.954860624953643e-4	6.880502457482316e-5
